Date,Regression (Sum of Yarra Glen-Warrandyte Interstation & Plenty 2 Mernda)
28/07/1898,276.2314
29/07/1898,243.0307
30/07/1898,195.6056
31/07/1898,192.6781
1/08/1898,216.4498
2/08/1898,203.7764
3/08/1898,181.1525
4/08/1898,168.6837
5/08/1898,156.6961
6/08/1898,148.1499
7/08/1898,156.1004
8/08/1898,297.4604
9/08/1898,334.8639
10/08/1898,248.1313
11/08/1898,217.2571
12/08/1898,205.0651
13/08/1898,183.7131
14/08/1898,169.8686
15/08/1898,186.6143
16/08/1898,237.6802
17/08/1898,263.4304
18/08/1898,293.8675
19/08/1898,302.6649
20/08/1898,258.6089
21/08/1898,219.7459
22/08/1898,199.8464
23/08/1898,213.9117
24/08/1898,253.0758
25/08/1898,268.6925
26/08/1898,236.5143
27/08/1898,200.5082
28/08/1898,195.2924
29/08/1898,185.5821
30/08/1898,169.9112
31/08/1898,166.1411
1/09/1898,164.965
2/09/1898,172.033
3/09/1898,194.6075
4/09/1898,201.3384
5/09/1898,367.7959
6/09/1898,455.2733
7/09/1898,458.1527
8/09/1898,421.2369
9/09/1898,393.544
10/09/1898,331.6881
11/09/1898,524.0723
12/09/1898,529.6556
13/09/1898,471.1179
14/09/1898,568.2583
15/09/1898,483.4207
16/09/1898,369.1121
17/09/1898,358.0995
18/09/1898,563.4722
19/09/1898,530.387
20/09/1898,374.5066
21/09/1898,310.1239
22/09/1898,275.1866
23/09/1898,247.3018
24/09/1898,223.9166
25/09/1898,203.9048
26/09/1898,188.8735
27/09/1898,257.5807
28/09/1898,457.3617
29/09/1898,418.0032
30/09/1898,289.265
1/10/1898,252.941
2/10/1898,227.37
3/10/1898,205.7666
4/10/1898,187.3827
5/10/1898,173.8841
6/10/1898,163.7593
7/10/1898,154.7983
8/10/1898,277.3687
9/10/1898,539.6497
10/10/1898,435.2505
11/10/1898,293.132
12/10/1898,257.9687
13/10/1898,229.2894
14/10/1898,217.9728
15/10/1898,201.9378
16/10/1898,181.6423
17/10/1898,170.5524
18/10/1898,159.569
19/10/1898,154.4797
20/10/1898,178.7666
21/10/1898,183.1935
22/10/1898,164.1425
23/10/1898,143.6185
24/10/1898,135.5047
25/10/1898,128.5601
26/10/1898,135.4709
27/10/1898,304.2063
28/10/1898,455.3631
29/10/1898,414.19
30/10/1898,405.2131
31/10/1898,308.7513
1/11/1898,264.0208
2/11/1898,231.0113
3/11/1898,213.234
4/11/1898,193.6591
5/11/1898,212.2236
6/11/1898,206.5118
7/11/1898,176.686
8/11/1898,161.814
9/11/1898,218.322
10/11/1898,239.5034
11/11/1898,178.288
12/11/1898,166.1527
13/11/1898,155.2389
14/11/1898,145.591
15/11/1898,137.2877
16/11/1898,189.3812
17/11/1898,205.3736
18/11/1898,158.5165
19/11/1898,144.902
20/11/1898,136.3557
21/11/1898,130.0061
22/11/1898,226.5036
23/11/1898,256.449
24/11/1898,180.4551
25/11/1898,163.8476
26/11/1898,166.9123
27/11/1898,159.4501
28/11/1898,148.5949
29/11/1898,135.2641
30/11/1898,144.4586
1/12/1898,145.6233
2/12/1898,129.4891
3/12/1898,121.0901
4/12/1898,114.8901
5/12/1898,109.2273
6/12/1898,104.0394
7/12/1898,99.29629
8/12/1898,104.0683
9/12/1898,120.9102
10/12/1898,116.1704
11/12/1898,101.5135
12/12/1898,95.29964
13/12/1898,91.21418
14/12/1898,87.42757
15/12/1898,83.91542
16/12/1898,80.66026
17/12/1898,77.71819
18/12/1898,77.10804
19/12/1898,76.48489
20/12/1898,70.50139
21/12/1898,67.32191
22/12/1898,64.72171
23/12/1898,64.19161
24/12/1898,71.24349
25/12/1898,83.6253
26/12/1898,134.996
27/12/1898,61.88181
28/12/1898,57.84352
29/12/1898,55.76497
30/12/1898,53.79595
31/12/1898,51.93012
1/01/1899,50.17151
2/01/1899,57.65989
3/01/1899,65.66411
4/01/1899,61.09563
5/01/1899,56.60546
6/01/1899,52.53854
7/01/1899,53.96067
8/01/1899,49.50749
9/01/1899,46.69874
10/01/1899,45.2343
11/01/1899,43.8446
12/01/1899,49.41996
13/01/1899,80.80464
14/01/1899,85.37248
15/01/1899,67.60624
16/01/1899,59.07198
17/01/1899,52.72148
18/01/1899,50.92901
19/01/1899,49.52009
20/01/1899,50.68651
21/01/1899,87.95503
22/01/1899,110.8893
23/01/1899,108.5466
24/01/1899,79.18866
25/01/1899,72.82527
26/01/1899,63.18484
27/01/1899,60.69468
28/01/1899,58.45016
29/01/1899,56.33887
30/01/1899,60.47645
31/01/1899,75.86381
1/02/1899,77.26896
2/02/1899,67.75711
3/02/1899,63.06534
4/02/1899,59.1194
5/02/1899,56.97173
6/02/1899,54.9438
7/02/1899,53.0261
8/02/1899,51.20922
9/02/1899,49.48697
10/02/1899,47.85354
11/02/1899,46.30222
12/02/1899,44.82812
13/02/1899,43.42602
14/02/1899,42.09175
15/02/1899,40.82106
16/02/1899,39.60983
17/02/1899,38.45425
18/02/1899,37.35138
19/02/1899,36.29822
20/02/1899,35.39035
21/02/1899,35.64576
22/02/1899,34.65265
23/02/1899,32.81117
24/02/1899,32.11941
25/02/1899,30.90668
26/02/1899,30.97536
27/02/1899,49.01006
28/02/1899,64.54243
1/03/1899,110.2465
2/03/1899,40.84715
3/03/1899,39.11433
4/03/1899,35.53956
5/03/1899,34.5883
6/03/1899,33.67698
7/03/1899,32.80325
8/03/1899,31.96477
9/03/1899,31.15968
10/03/1899,30.3866
11/03/1899,29.64385
12/03/1899,28.9297
13/03/1899,27.90996
14/03/1899,26.85368
15/03/1899,25.83618
16/03/1899,24.85596
17/03/1899,23.91304
18/03/1899,23.00545
19/03/1899,27.8985
20/03/1899,59.22455
21/03/1899,78.78147
22/03/1899,83.84719
23/03/1899,51.61121
24/03/1899,50.38687
25/03/1899,27.48483
26/03/1899,33.01813
27/03/1899,37.40544
28/03/1899,42.99737
29/03/1899,32.96809
30/03/1899,27.04879
31/03/1899,25.69782
1/04/1899,24.76292
2/04/1899,25.23371
3/04/1899,25.9243
4/04/1899,25.3076
5/04/1899,23.62245
6/04/1899,22.20161
7/04/1899,21.29916
8/04/1899,23.40626
9/04/1899,28.11453
10/04/1899,30.33867
11/04/1899,45.50688
12/04/1899,21.35619
13/04/1899,19.19354
14/04/1899,18.49124
15/04/1899,17.81004
16/04/1899,17.14895
17/04/1899,16.50737
18/04/1899,15.88568
19/04/1899,23.47475
20/04/1899,28.39854
21/04/1899,18.32123
22/04/1899,17.43956
23/04/1899,19.65592
24/04/1899,63.91791
25/04/1899,110.7839
26/04/1899,167.8306
27/04/1899,53.20974
28/04/1899,48.14832
29/04/1899,45.84316
30/04/1899,44.60701
1/05/1899,47.09186
2/05/1899,48.75874
3/05/1899,56.47158
4/05/1899,61.86881
5/05/1899,62.99115
6/05/1899,72.82168
7/05/1899,61.4274
8/05/1899,55.3405
9/05/1899,53.46027
10/05/1899,51.35051
11/05/1899,49.78582
12/05/1899,48.38486
13/05/1899,47.06468
14/05/1899,45.80789
15/05/1899,44.61015
16/05/1899,43.48459
17/05/1899,97.41991
